name,email,category_id
FONDS REGIONAL D'ART CONTEMPORAIN DE BRETAGNE,krystel.lavaur@fracbretagne.fr,1
ASSOCIATION LA FOURMI-E,lafourmie.mediation@gmail.com,1
GWIN ZEGAL,mediation@gwinzegal.com,1
L'IMAGERIE,I-imagerie@orange.fr,1
LES ATELIERS DU PLESSIX MADEUC,coordination@ateliersduplessixmadeuc.com,1
CENTRE CULTUREL BLEU PLURIEL,bleupluriel@ville-tregueux.fr ,1
CENTRE CULTUREL DE LA VILLE ROBERT,villerobert@pordic.fr,1
CENTRE CULTUREL MOSAIQUE,mosaique@mene.fr,1
THEATRE DES JACOBINS,e.ballou@dinan-agglomeration.fr,1
CONSERVATOIRE A RAYONNEMENT INTERCOMMUNAL DE LAMBALLE TERRE ET MER (école de musique et de danse communautaire),christelle.schweitzer@lamballe-terre-mer.bzh,1
CONSERVATOIRE A RAYONNEMENT INTERCOMMUNAL DU TREGOR,emt@lannion-tregor.com,1
CONSERVATOIRE A RAYONNEMENT INTERCOMMUNAL LE KIOSQUE- DINAN AGGLOMERATION,lekiosque@dinan-agglomeration.fr ,1
CONSERVATOIRE A RAYONNEMENT DEPARTEMENTAL VILLA CARMELIE DE SAINT BRIEUC,conservatoire@mairie-saint-brieuc.fr,1
ESPACE VICTOR HUGO,centre.culturel@ploufragan.fr,1
LE GRAND PRÉ,legrandpre@mairie-langueux.fr,1
LE PETIT ECHO DE LA MODE,lpem@leffarmor.fr ,1
PALAIS DES CONGRES ET DE LA CULTURE DE LOUDEAC,pcc.loudeac@orange.fr,1
SOLENVAL,solenval@plancoetplelan.fr,1
POLE IMAGE RURAL - COMPAGNIE PAPIER THEATRE,info@ciepapiertheatre.fr,1
FESTIVAL MARIONNET'IC,marionneticscolaire@gmail.com,1
FESTIVAL RUE DELL ARTE,ruedellarte@gmail.com,1
LA PASSERELLE – Scène nationale de Saint-Brieuc,catherinezuccolo@lapasserelle.info,1
LYNCEUS FESTIVAL,lynceustheatre@gmail.com,1
QUAI DES REVES – Scène de territoire pour le théâtre,pyhenry@mairie-lamballe.fr,1
THEATRE DU CHAMP AU ROY Scène de territoire pour les écritures contemporaines,celine.larriere@ville-guingamp.com,1
LE CARRE MAGIQUE – POLE NATIONAL DES ARTS DU CIRQUE,marianegauthier@carre-magique.com,1
LE FOURNEAU centre national des arts de la rue et des espaces publics (CNAREP),alice.lang@lefourneau.com,1
ORCHESTRE SYMPHONIQUE DE BRETAGNE,boubila@o-s-b.fr,1
ASSOCIATION SON AR MEIN – LE PETIT FESTIVAL,marie-laure@sonarmein.fr,1
LA CITROUILLE – Scène de musiques actuelles,studios@lacitrouille.bzh,1
LA GRANDE BOUTIQUE – Centre de création musiques du monde,lagrandeboutique@wanadoo.fr,1
RENCONTRE INTERNATIONALE DE MUSIQUE ANCIENNE EN TREGOR,direction.rimat@orange.fr rimat@orange.fr,1
MUSEE DE LA DANSE – CENTRE CHOREGRAPHIQUE NATIONAL DE RENNES ET DE BRETAGNE (CCNRB),clemence.journaud@museedeladanse.org,1
CINEMATHEQUE DE BRETAGNE,direction@cinematheque-bretagne.fr,1
CINEPHARE,reseau.cinephare@gmail.com,1
CINEMA QUAI DES IMAGES,i.allo@cinemaquaidesimages.org,1
TY FILMS,gaelle.larvol@tyfilms.fr,1
UNION FRANCAISE DU FILM POUR L'ENFANCE ET LA JEUNESSE EN BRETAGNE – UFFEJ,uffejbretagne@gmail.com,1
CLUB DE LA PRESSE DE BRETAGNE,accueil@clubpresse-bretagne.com,1
établissement public de coopération culturelle LIVRE ET LECTURE EN BRETAGNE,contact@livrelecturebretagne.fr,1
BIBLIOTHEQUE DEPARTEMENTALE DES CÔTES D'ARMOR,closierguenaelle@cotesdarmor.fr,1
LIGUE DE L'ENSEIGNEMENT DES COTES D'ARMOR - FEDERATION DES ŒUVRES LAIQUES 22,culture@laligue22.org,1
MAISON DE L'ARCHITECTURE ET DES ESPACES PROTEGES DE BRETAGNE (MAEB),contact@architecturebretagne.fr,1
COLLECTIF TY ARCHI,contact@agouf.fr,1
"CONSEIL D'ARCHITECTURE, D'URBANISME ET DE L'ENVIRONNEMENT DES COTES D'ARMOR - CAUE 22",caue22@wanadoo.fr,1
ABBAYE DE BEAUPORT,contact@abbayebeauport.com,1
ARCHIVES DEPARTEMENTALES des Côtes d’Armor,catherine.dolguin@cotesdarmor.fr,1
ASSOCIATION DES COMPAGNONS DE L'ABBAYE DE BON REPOS,estellebonrepos@orange.fr,1
CHATEAU DE LA HUNAUDAYE,direction@la-hunaudaye.com,1
CORIOSOLIS centre d'interprétation du patrimoine du site de Corseul,c.merel@dinan-agglomeration.fr,1
"DINAN, ville d’art et d’histoire – service Patrimoine",educ.patrimoine@dinan.fr,1
DOMAINE DEPARTEMENTAL DE LA ROCHE JAGU,chateaudelarochejagu@cotesdarmor.fr,1
MUSEE D'ART ET D'HISTOIRE DE SAINT BRIEUC,musee@saint-brieuc.fr ,1
MUSEE MATHURIN MEHEUT - LAMBALLE,contact@musee-meheut.fr,1
FONDS REGIONAL D'ART CONTEMPORAIN DE BRETAGNE,krystel.lavaur@fracbretagne.fr,1
CENTRE D'ART PASSERELLE,publics@cac-passerelle.com,1
LES MOYENS DU BORD,lesmoyensdubord.mdb@gmail.com,1
CONSERVATOIRE A RAYONNEMENT DEPARTEMENTAL DE QUIMPER,sylvie.paulmier@quimper.bzh,1
